기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,제외여부,제외사유,초등1학년전입학생수(명),초등1학년전출학생수(명),초등1학년전체학생수(명),초등2학년전입학생수(명),초등2학년전출학생수(명),초등2학년전체학생수(명),초등3학년전입학생수(명),초등3학년전출학생수(명),초등3학년전체학생수(명),초등4학년전입학생수(명),초등4학년전출학생수(명),초등4학년전체학생수(명),초등5학년전입학생수(명),초등5학년전출학생수(명),초등5학년전체학생수(명),초등6학년전입학생수(명),초등6학년전출학생수(명),초등6학년전체학생수(명),중등1학년전입학생수(명),중등1학년전출학생수(명),중등1학년전체학생수(명),중등2학년전입학생수(명),중등2학년전출학생수(명),중등2학년전체학생수(명),중등3학년전입학생수(명),중등3학년전출학생수(명),중등3학년전체학생수(명),고등1학년전입학생수(명),고등1학년전출학생수(명),고등1학년전체학생수(명),고등2학년전입학생수(명),고등2학년전출학생수(명),고등2학년전체학생수(명),고등3학년전입학생수(명),고등3학년전출학생수(명),고등3학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2019,양평군,경기도교육청,경기도 양평군,창인학교,,사립,N,,0,0,2,0,0,4,0,0,5,1,0,6,0,0,6,0,1,6,1,0,7,0,0,13,0,1,10,0,0,9,0,0,10,0,0,9,2,2,87
2019,오산시,경기도교육청,경기도 오산시,성심학교,,사립,N,,0,0,6,0,0,6,1,0,5,0,0,6,0,0,6,0,0,6,0,2,12,2,1,7,2,0,10,0,0,9,0,0,14,0,0,14,5,3,101
2019,오산시,경기도교육청,경기도 오산시,성심학교,,사립,N,,0,0,6,0,0,6,1,0,5,0,0,6,0,0,6,0,0,6,0,2,12,2,1,7,2,0,10,0,0,9,0,0,14,0,0,14,5,3,101
2019,용인시,경기도교육청,경기도 용인시 기흥구,용인강남학교,,사립,N,,0,0,12,0,0,12,0,0,12,0,0,12,1,0,12,0,0,12,0,0,12,0,1,12,1,1,11,0,0,12,0,0,14,1,1,13,3,3,146
2019,용인시,경기도교육청,경기도 용인시 기흥구,용인강남학교,,사립,N,,0,0,12,0,0,12,0,0,12,0,0,12,1,0,12,0,0,12,0,0,12,0,1,12,1,1,11,0,0,12,0,0,14,1,1,13,3,3,146
2019,의정부시,경기도교육청,경기도 의정부시,희망학교,,사립,Y,본교는 유치부 과정으로 해당없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,의정부시,경기도교육청,경기도 의정부시,송민학교,,공립,N,,2,2,12,0,4,12,0,2,12,2,2,10,2,2,12,0,0,12,1,2,17,0,0,18,1,0,11,0,4,21,0,0,14,1,1,20,9,19,171
2019,의정부시,경기도교육청,경기도 의정부시,송민학교,,공립,N,,2,2,12,0,4,12,0,2,12,2,2,10,2,2,12,0,0,12,1,2,17,0,0,18,1,0,11,0,4,21,0,0,14,1,1,20,9,19,171
2019,의정부시,경기도교육청,경기도 의정부시,희망학교,,사립,Y,본교는 유치부 과정으로 해당없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,이천시,경기도교육청,경기도 이천시,다원학교,,공립,N,,0,3,12,0,0,11,0,0,11,0,0,4,0,0,8,0,1,10,0,0,7,0,0,10,0,0,9,0,0,9,0,0,9,0,0,6,0,4,106
